bin_id,cycle_id,timestamp,fill_real,fill_pred,error_fill,time_to_90_real,time_to_90_pred,error_time_h,error_time_min
4782,88,2025-10-30 02:00:00,78.83,77.987434,0.84256744,13.000001,10.371493,2.6285076,157.71045
5373,70,2025-10-30 02:00:00,89.21,87.53368,1.6763153,4.0,3.6128402,0.38715982,23.22959
4782,88,2025-10-30 03:00:00,79.41,78.484634,0.92536926,11.999999,9.928951,2.0710478,124.26286
4783,69,2025-10-30 03:00:00,84.35,79.98039,4.369606,9.0,8.216062,0.7839384,47.036304
5373,70,2025-10-30 03:00:00,89.36,88.25775,1.1022491,3.0,2.8680668,0.13193321,7.9159927
4783,69,2025-10-30 04:00:00,84.71,80.71392,3.9960785,8.0,7.2331457,0.7668543,46.011257
5271,145,2025-10-30 04:00:00,64.87,75.13268,10.26268,13.000001,10.278202,2.721799,163.30794
5373,70,2025-10-30 04:00:00,89.82,88.88385,0.9361496,2.0,2.534408,0.5344081,32.064484
4782,88,2025-10-30 04:00:00,79.75,78.97099,0.77900696,11.0,9.340415,1.659585,99.5751
4782,88,2025-10-30 05:00:00,80.09,79.463066,0.62693024,10.000001,8.686714,1.3132868,78.79721
4783,69,2025-10-30 05:00:00,85.12,81.68835,3.431656,7.0,6.439309,0.5606909,33.641453
5373,70,2025-10-30 05:00:00,90.32,89.62201,0.6979904,1.0,1.8726342,0.8726342,52.35805
5271,145,2025-10-30 05:00:00,65.78,75.54826,9.768265,11.999999,10.135308,1.8646908,111.88145
5373,70,2025-10-30 06:00:00,90.56,90.58919,0.029190063,0.0,0.8638921,0.8638921,51.833527
5271,145,2025-10-30 06:00:00,66.85,76.00292,9.152924,11.0,9.898419,1.1015806,66.09483
4782,88,2025-10-30 06:00:00,80.78,80.02722,0.7527771,9.0,8.055415,0.94458485,56.67509
4783,69,2025-10-30 06:00:00,85.18,82.86805,2.3119507,5.9999995,5.928415,0.0715847,4.295082
5271,145,2025-10-30 07:00:00,68.81,76.14688,7.3368835,10.000001,9.596974,0.40302658,24.181595
4782,88,2025-10-30 07:00:00,81.73,81.07458,0.655426,8.0,7.1380777,0.86192226,51.715336
4783,69,2025-10-30 07:00:00,86.37,83.86563,2.5043716,5.0,5.531099,0.53109884,31.86593
5271,145,2025-10-30 08:00:00,70.95,76.7193,5.7693024,9.0,9.102152,0.10215187,6.1291122
4782,88,2025-10-30 08:00:00,82.99,82.10088,0.8891144,7.0,6.3653297,0.63467026,38.080215
4783,69,2025-10-30 08:00:00,87.13,84.94025,2.1897507,4.0,5.0841436,1.0841436,65.048615
4782,88,2025-10-30 09:00:00,84.42,83.321594,1.0984039,5.9999995,5.7490125,0.25098705,15.059223
4783,69,2025-10-30 09:00:00,88.69,86.31103,2.378975,3.0,3.91183,0.91182995,54.709797
5271,145,2025-10-30 09:00:00,73.37,77.45695,4.0869446,8.0,8.411649,0.41164875,24.698925
4782,88,2025-10-30 10:00:00,85.38,84.62525,0.7547455,5.0,5.147336,0.147336,8.84016
5271,145,2025-10-30 10:00:00,75.23,78.55699,3.3269882,7.0,7.293745,0.29374504,17.624702
4783,69,2025-10-30 10:00:00,89.42,88.35028,1.0697174,2.0,2.9557865,0.95578647,57.347187
5271,145,2025-10-30 11:00:00,77.75,80.539665,2.7896652,5.9999995,6.0731125,0.073112965,4.386778
4782,88,2025-10-30 11:00:00,86.82,86.0242,0.79579926,4.0,4.2158055,0.21580553,12.948332
4783,69,2025-10-30 11:00:00,90.04,89.33151,0.70848846,1.0,2.2481487,1.2481487,74.88892
5271,145,2025-10-30 12:00:00,80.46,83.15856,2.6985626,5.0,5.3018737,0.30187368,18.112421
4782,88,2025-10-30 12:00:00,88.63,87.93734,0.6926575,3.0,3.0996356,0.0996356,5.978136
5271,145,2025-10-30 13:00:00,83.01,85.56545,2.5554504,4.0,4.5220976,0.5220976,31.325855
4782,88,2025-10-30 13:00:00,89.87,88.95018,0.9198227,2.0,2.4673576,0.46735764,28.041458
5271,145,2025-10-30 14:00:00,85.62,87.05933,1.439331,3.0,3.5267591,0.52675915,31.605549
5271,145,2025-10-30 15:00:00,88.15,88.48821,0.33821106,2.0,2.5806851,0.58068514,34.84111
5685,119,2025-10-31 02:00:00,73.06,76.93787,3.8778687,13.000001,10.013935,2.9860659,179.16396
5685,119,2025-10-31 03:00:00,73.48,77.70118,4.221176,11.999999,9.606339,2.3936596,143.61957
5685,119,2025-10-31 04:00:00,73.71,78.12904,4.4190445,11.0,9.14651,1.8534899,111.2094
5685,119,2025-10-31 05:00:00,74.58,78.57798,3.9979782,10.000001,8.621126,1.3788748,82.73248
5685,119,2025-10-31 06:00:00,75.21,79.35606,4.146057,9.0,8.108884,0.89111614,53.46697
5685,119,2025-10-31 07:00:00,77.0,79.98059,2.9805908,8.0,7.509775,0.49022484,29.41349
5685,119,2025-10-31 08:00:00,78.07,81.5539,3.483902,7.0,6.6453304,0.35466957,21.280174
5685,119,2025-10-31 09:00:00,80.07,82.41897,2.3489685,5.9999995,6.0313816,0.031382084,1.882925
5685,119,2025-10-31 10:00:00,81.93,83.58904,1.6590424,5.0,5.531218,0.53121805,31.873083
5685,119,2025-10-31 11:00:00,83.86,84.854546,0.994545,4.0,4.9286623,0.9286623,55.719738
5607,97,2025-10-31 11:00:00,70.11,75.05388,4.943878,13.000001,10.153759,2.846242,170.77452
5685,119,2025-10-31 12:00:00,85.78,86.553696,0.7736969,3.0,3.9537988,0.9537988,57.22793
5607,97,2025-10-31 12:00:00,71.86,75.38922,3.5292206,11.999999,10.019701,1.980298,118.81789
5685,119,2025-10-31 13:00:00,88.33,88.34343,0.013427734,2.0,2.9069498,0.90694976,54.416985
5607,97,2025-10-31 13:00:00,73.66,75.974396,2.314392,11.0,9.777033,1.2229671,73.37803
